"Reported Date","Suburb - Incident","Postcode - Incident","Offence Level 1 Description","Offence Level 2 Description","Offence Level 3 Description","Offence count"
"01/07/2022","BURTON","5110","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","BURTON","5110","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","CEDUNA","5690","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","CHRISTIE DOWNS","5164","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"01/07/2022","CHRISTIES BEACH","5165","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"01/07/2022","CHRISTIES BEACH","5165","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Non Residence","1"
"01/07/2022","CHRISTIES BEACH","5165","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"01/07/2022","CHRISTIES BEACH","5165","OFFENCES AGAINST THE PERSON","ROBBERY AND RELATED OFFENCES","Aggravated robbery","1"
"01/07/2022","CLARE","5453","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","COOBER PEDY","5723","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"01/07/2022","COONABIDGEE","6503","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"01/07/2022","COWANDILLA","5033","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"01/07/2022","COWANDILLA","5033","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"01/07/2022","CRAIGMORE","5114","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","CROYDON PARK","5008","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","CUMBERLAND PARK","5041","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","CURRAMULKA","5580","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"01/07/2022","DAVOREN PARK","5113","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","DIREK","5110","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","2"
"01/07/2022","EDWARDSTOWN","5039","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","EDWARDSTOWN","5039","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","EDWARDSTOWN","5039","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"01/07/2022","ELIZABETH","5112","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"01/07/2022","ELIZABETH","5112","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","ELIZABETH","5112","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","ELIZABETH DOWNS","5113","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"01/07/2022","ELIZABETH GROVE","5112","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","ELIZABETH NORTH","5113","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","ELIZABETH NORTH","5113","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"01/07/2022","ELIZABETH PARK","5113","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","ELIZABETH VALE","5112","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","3"
"01/07/2022","ELIZABETH VALE","5112","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","2"
"01/07/2022","ENFIELD","5085","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"01/07/2022","ENFIELD","5085","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","EVANSTON","5116","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","EYRE","5121","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"01/07/2022","EYRE","5121","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","EYRE","5121","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","FINDON","5023","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","FINDON","5023","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","2"
"01/07/2022","FLINDERS PARK","5025","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","FULHAM","5024","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Receive or handle proceeds of crime","1"
"01/07/2022","FULHAM","5024","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","FULHAM","5024","OFFENCES AGAINST THE PERSON","ROBBERY AND RELATED OFFENCES","Aggravated robbery","2"
"01/07/2022","FULLARTON","5063","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"01/07/2022","GAWLER","5118","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","GAWLER","5118","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","GILBERTON","5081","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","GILLES PLAINS","5086","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"01/07/2022","GILLES PLAINS","5086","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","GILLMAN","5013","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Property damage by fire or explosion","1"
"01/07/2022","GLANDORE","5037","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"01/07/2022","GLANDORE","5037","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","GLENELG","5045","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"01/07/2022","GLENGOWRIE","5044","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","GLENSIDE","5065","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"01/07/2022","GLENSIDE","5065","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","GLENUNGA","5064","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","GOLDEN GROVE","5125","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","6"
"01/07/2022","GOLDEN GROVE","5125","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"01/07/2022","GOLDEN GROVE","5125","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","GOODWOOD","5034","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","GOODWOOD","5034","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","GRANGE","5022","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"01/07/2022","GRANGE","5022","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","GUM CREEK","5417","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","HACKHAM","5163","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","HALLETT COVE","5158","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"01/07/2022","HALLETT COVE","5158","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","HENLEY BEACH","5022","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","HILLBANK","5112","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","HILLCREST","5086","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","4"
"01/07/2022","HILTON","5033","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","INGLE FARM","5098","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","JOSLIN","5070","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Receive or handle proceeds of crime","1"
"01/07/2022","JOSLIN","5070","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"01/07/2022","KENT TOWN","5067","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","KENT TOWN","5067","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Receive or handle proceeds of crime","1"
"01/07/2022","KENT TOWN","5067","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","KILBURN","5084","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","KILBURN","5084","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"01/07/2022","KILBURN","5084","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","KILKENNY","5009","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Other fraud, deception and related offences","1"
"01/07/2022","KURRALTA PARK","5037","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","LINDEN PARK","5065","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","LONG PLAINS","5501","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","LONSDALE","5160","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Non Residence","1"
"01/07/2022","LONSDALE","5160","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","MARION","5043","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"01/07/2022","MARLESTON","5033","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","MARRYATVILLE","5068","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"01/07/2022","MIDDLETON","5213","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","MILE END","5031","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","MILE END SOUTH","5031","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","MILE END SOUTH","5031","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","MILE END SOUTH","5031","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","MITCHAM","5062","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Graffiti","1"
"01/07/2022","MITCHELL PARK","5043","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Receive or handle proceeds of crime","1"
"01/07/2022","MODBURY","5092","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"01/07/2022","MODBURY","5092","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","MODBURY HEIGHTS","5092","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","MORPHETT VALE","5162","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","MORPHETT VALE","5162","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","MORPHETT VALE","5162","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","MORPHETTVILLE","5043","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","MOUNT BARKER","5251","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","MOUNT BARKER","5251","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","MOUNT BARKER","5251","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","MOUNT GAMBIER","5290","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"01/07/2022","MOUNT GAMBIER","5290","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","MUNNO PARA","5115","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","MURRAY BRIDGE","5253","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","MURRAY BRIDGE","5253","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"01/07/2022","MURRAY BRIDGE","5253","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","NANGWARRY","5277","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","NEW PORT","5015","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","NOARLUNGA CENTRE","5168","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","NOARLUNGA CENTRE","5168","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","NOARLUNGA CENTRE","5168","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"01/07/2022","NOARLUNGA CENTRE","5168","OFFENCES AGAINST THE PERSON","ROBBERY AND RELATED OFFENCES","Non-aggravated robbery","1"
"01/07/2022","NOARLUNGA DOWNS","5168","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"01/07/2022","NOARLUNGA DOWNS","5168","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Receive or handle proceeds of crime","1"
"01/07/2022","NOARLUNGA DOWNS","5168","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"01/07/2022","NORTH HAVEN","5018","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Non Residence","1"
"01/07/2022","NORTH PLYMPTON","5037","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","NORWOOD","5067","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"01/07/2022","NOT DISCLOSED","NOT DISCLOSED","OFFENCES AGAINST THE PERSON","SEXUAL ASSAULT AND RELATED OFFENCES","Aggravated sexual assault","4"
"01/07/2022","NOT DISCLOSED","NOT DISCLOSED","OFFENCES AGAINST THE PERSON","SEXUAL ASSAULT AND RELATED OFFENCES","Non-aggravated sexual assault","2"
"01/07/2022","NOVAR GARDENS","5040","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","NOVAR GARDENS","5040","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","OAKLANDS PARK","5046","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"01/07/2022","OAKLANDS PARK","5046","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"01/07/2022","OLD REYNELLA","5161","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","2"
"01/07/2022","OSBORNE","5017","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"01/07/2022","PARADISE","5075","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","PARAFIELD","5106","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","PARAFIELD","5106","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","3"
"01/07/2022","PARA HILLS","5096","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","PARA HILLS","5096","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"01/07/2022","PARALOWIE","5108","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","PARA VISTA","5093","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","PARA VISTA","5093","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"01/07/2022","PAYNEHAM SOUTH","5070","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Receive or handle proceeds of crime","1"
"01/07/2022","POORAKA","5095","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"01/07/2022","PORT ADELAIDE","5015","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"01/07/2022","PORT ADELAIDE","5015","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"01/07/2022","PORT ADELAIDE","5015","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","PORT ADELAIDE","5015","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","PORT AUGUSTA","5700","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","3"
"01/07/2022","PORT AUGUSTA","5700","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"01/07/2022","PORT AUGUSTA","5700","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","PORT AUGUSTA","5700","OFFENCES AGAINST THE PERSON","HOMICIDE AND RELATED OFFENCES","Other homicide and related offences","1"
"01/07/2022","PORT AUGUSTA WEST","5700","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"01/07/2022","PORT LINCOLN","5606","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"01/07/2022","PORT LINCOLN","5606","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"01/07/2022","PORT LINCOLN","5606","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"01/07/2022","PORT NOARLUNGA SOUTH","5167","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"01/07/2022","PROSPECT","5082","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"01/07/2022","PROSPECT","5082","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","PROSPECT","5082","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","3"
"01/07/2022","PROSPECT","5082","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"01/07/2022","REGENCY PARK","5010","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Receive or handle proceeds of crime","1"
"01/07/2022","REYNELLA","5161","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","ROSEWATER","5013","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"01/07/2022","ROXBY DOWNS","5725","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Graffiti","1"
"01/07/2022","SALISBURY","5108","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Other fraud, deception and related offences","1"
"01/07/2022","SALISBURY","5108","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","SALISBURY","5108","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"01/07/2022","SALISBURY DOWNS","5108","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Property damage by fire or explosion","1"
"01/07/2022","SALISBURY HEIGHTS","5109","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","SALISBURY NORTH","5108","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"01/07/2022","SALISBURY PARK","5109","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
